Band #,Development,Site Banded,Nest# Banded,Nest Recipient,Nest Origin,Date,Julain Date,experimental?,Treatment Reared,Age (days),Sex,Brood#,Clutch Size Origin,Brood Size Reared,swapped?,Kid#,RWL,Tot. Mass,Cone,Net Mass,Mites?,D?,D No.,Plasma?,Feather?,Mother-Recipient,Mother-RecipientCort,Father-Recipient,Father-RecipientCort,Mother-Origin,Mother-OriginCort,Father-Origin,Father-OriginCort,Biol Mom,Biol MomCort,Biol Dad,Biol DadCort,Social Dad Genetic?,Fate,Notes,Plasma Date, Plasma Julain Date,Approach Time,Basline Time,StandardApproachTime,Latency Time,Latency Num,Stress Time,Elapsed Time,Elasped Num,[Baseline]  (ng/ml) ,ln [Baseline] ,[Stress] (ng/ml) ,ln [Stress] ,[Stress Response] (ng/ml),ln [Stress Response],Bird,date,patch,total.bright,avg.bright,hue,chrom
2391-90543,N,Colorado Sky,4,COSK4,AUTH81,6/25/2010,176,Y,increase,12,F,1,5,4,Y,2,57.0,22.00,3.00,19.00,Y,Y,10-073,Y,Y,2540-44694,y,2540-98637,y,2540-44624,y,2540-98611,y,2540-44624,y,2540-44764,"y, am sample",N,fledged,,6/25/2010,176,16:11:45,16:13:35,16.1958,0:01:50,1.833,16:26:45,0:15:00,15.000,7.135700,1.965110,19.885040,2.989968,12.749340,2.545480,239190543,62510,N,44996.05767,22.531827,627.46,0.402267027
2391-90544,N,Colorado Sky,4,COSK4,COSK4,6/25/2010,176,Y,increase,12,M,1,5,4,N,3,60.5,24.25,3.25,21.00,Y,Y,10-074,Y,Y,2540-44694,y,2540-98637,y,2540-44694,y,2540-98637,y,2540-44694,y,2540-98637,y,Y,fledged,,6/25/2010,176,16:11:45,16:14:40,16.1958,0:02:55,2.917,16:27:35,0:15:50,15.833,4.820660,1.572911,27.760500,3.323614,22.939840,3.132875,239190544,62510,N,54531.76933,27.306845,627.1466667,0.392238585
2391-90552,N,Conoco,C5,CONOC5,CONOC5,7/21/2010,202,Y,decrease,12,M,1,5,3,N,1,53.0,21.75,2.00,19.75,N,Y,10-075,Y,Y,2540-98935,y,2540-98934,y,2540-98935,y,2540-98934,y,2540-98935,y,2540-98934,y,Y,fledged,probable pair from earlier attempt,7/21/2010,202,15:14:30,15:15:32,15.2417,0:01:02,1.033,15:30:10,0:15:40,15.667,1.586400,0.461467,20.422440,3.016634,18.836040,2.935772,239190552,72110,N,40442.06567,20.251410,615.1566667,0.429839718
2391-90553,N,Conoco,C5,CONOC5,CONOC5,7/21/2010,202,Y,decrease,12,F,1,5,3,N,2,53.0,21.50,2.00,19.50,N,Y,10-076,Y,Y,2540-98935,y,2540-98934,y,2540-98935,y,2540-98934,y,2540-98935,y,2540-98655,y,N,fledged,,7/21/2010,202,15:14:30,15:16:16,15.2417,0:01:46,1.767,15:31:17,0:16:47,16.783,0.353700,-1.039310,15.329080,2.729752,15.080200,2.713383,239190553,72110,N,32619.14467,16.334073,616.7533333,0.425342468
2391-90554,N,Conoco,C5,CONOC5,CONOC5,7/21/2010,202,Y,decrease,12,M ,1,5,3,N,3,59.0,23.00,2.00,21.00,Y,Y,10-077,Y,Y,2540-98935,y,2540-98934,y,2540-98935,y,2540-98934,y,2540-98935,y,2540-98655,y,N,fledged,,7/21/2010,202,15:14:30,15:17:18,15.2417,0:02:48,2.800,15:34:26,0:19:56,19.933,1.940200,0.662791,20.664540,3.028419,18.724340,2.929824,239190554,72110,N,30384.471,15.215058,657.7666667,0.404358295
2391-83652,N,Creepy Shack,3,CRSH3,AUTH89,7/17/2010,198,Y,increase,12,M,1,5,5,Y,3,55.5,19.50,2.00,17.50,Y,Y,10-059,Y,Y,2540-98811,Y,2540-98676,Y,2540-44768,Y,2540-46098,Y,2540-44768,Y,2540-46098,Y,Y,fledged,,7/17/2010,198,13:40:00,13:41:50,13.6667,0:01:50,1.833,13:56:45,0:16:45,16.750,3.195060,1.161606,14.590500,2.680371,11.395440,2.433213,239183652,71710,N,28266.195,14.154329,648.43,0.439283567
2391-83653,N,Creepy Shack,3,CRSH3,AUTH89,7/17/2010,198,Y,increase,12,F,1,5,5,Y,4,50.5,20.00,2.00,18.00,N,Y,10-060,Y,Y,2540-98811,Y,2540-98676,Y,2540-44768,Y,2540-46098,Y,2540-44768,Y,2540-46098,Y,Y,fledged,,7/17/2010,198,13:40:00,13:42:15,13.6667,0:02:15,2.250,13:57:29,0:17:29,17.483,6.618800,1.889914,22.185300,3.099430,15.566500,2.745121,239183653,71710,N,65450.87367,32.774599,628.08,0.389649234
2391-84052,N,Creepy Shack,3,CRSH3,CRSH3,7/17/2010,198,Y,increase,12,F,1,4,5,N,1,53.0,19.50,2.00,17.50,N,Y,10-078,Y,Y,2540-98811,y,2540-98676,y,2540-98811,y,2540-98676,y,2540-98811,y,2540-98676,y,Y,fledged,,7/17/2010,198,13:40:00,13:40:53,13.6667,0:00:53,0.883,13:55:49,0:15:49,15.817,0.761380,-0.272623,14.843720,2.697577,14.082340,2.644922,239184052,71710,N,50609.541,25.342785,617.1566667,0.403562905
2391-84053,N,Creepy Shack,3,CRSH3,CRSH3,7/17/2010,198,Y,increase,12,F,1,4,5,N,2,54.0,20.50,2.00,18.50,N,Y,10-079,Y,Y,2540-98811,y,2540-98676,y,2540-98811,y,2540-98676,y,2540-98811,y,2540-98676,y,Y,fledged,,7/17/2010,198,13:40:00,13:41:38,13.6667,0:01:38,1.633,13:56:44,0:16:44,16.733,7.094500,1.959320,17.200340,2.844929,10.105840,2.313113,239184053,71710,N,45558.149,22.813294,644.13,0.405099316
2391-84054,N,Creepy Shack,3,CRSH3,CRSH3,7/17/2010,198,Y,increase,12,M,1,4,5,N,5,52.5,17.50,2.00,15.50,N,Y,10-080,Y,Y,2540-98811,y,2540-98676,y,2540-98811,y,2540-98676,y,2540-98811,y,2540-98676,y,Y,fledged,,7/17/2010,198,13:40:00,13:42:36,13.6667,0:02:36,2.600,13:58:50,0:18:50,18.833,9.546280,2.256152,25.030260,3.220085,15.483980,2.739806,239184054,71710,N,21645.298,10.838907,627.46,0.395512929
